Pays,Pays_fr,Annee,Population,Densite(P/Km2),Superficie(Km2),Electricite d'origine fossile(TWh),Electricite d'origine nucleaire(TWh),Electricite d'origine renouvelable(TWh),Electricite d'origine fossile / hab(KWh/pers),Electricite d'origine nucleaire / hab(KWh/pers),Electricite d'origine renouvelable / hab(KWh/pers),Part energie renouvelable(%),Part energie fossile(%),Part autres energies(%),Intensite energetique(MJ/$2017 PIB PPA),Emissions CO2(kt),Croissance PIB(%),PIB/habitant($)
Austria,Autriche,2000,9141939.0,109.0,83871.0,16.41,0.0,43.44,1.7950240096767218,0.0,4.751727177352638,26.44,27.418539999999993,46.14146000000001,3.22,63530.0,3.375722147,24564.45829
Austria,Autriche,2001,9141939.0,109.0,83871.0,18.82,0.0,42.24,2.058644232913827,0.0,4.620463995657814,25.53,30.822140000000005,43.647859999999994,3.36,67910.0,1.267168189,24537.51426
Austria,Autriche,2002,9141939.0,109.0,83871.0,18.79,0.0,41.9,2.0553626533714566,0.0,4.58327276084428,24.68,30.960620000000006,44.359379999999994,3.33,69370.00275,1.651553922,26401.74546
Austria,Autriche,2003,9141939.0,109.0,83871.0,22.82,0.0,35.24,2.496188171896575,0.0,3.8547621024380057,22.56,39.304165,38.135835,3.48,74459.99908,0.941470921,32222.89724
Austria,Autriche,2004,9141939.0,109.0,83871.0,22.31,0.0,39.62,2.4404013196762744,0.0,4.333872715624114,23.17,36.024544,40.805456,3.44,75800.00305,2.735120222,36821.52147
Austria,Autriche,2005,9141939.0,109.0,83871.0,23.61,0.0,40.88,2.5826030998456675,0.0,4.47169905640368,24.41,36.610325,38.979675,3.47,76239.99786,2.244065325,38403.13388
Austria,Autriche,2006,9141939.0,109.0,83871.0,21.62,0.0,40.66,2.3649249902017506,0.0,4.447634139759629,26.64,34.714195000000004,38.645804999999996,3.38,74099.99847,3.454041836,40635.28182
Austria,Autriche,2007,9141939.0,109.0,83871.0,19.74,0.0,43.17,2.159279338879859,0.0,4.722192961471303,28.99,31.378159999999994,39.63184000000001,3.2,71239.99786,3.727415301,46855.77175
Austria,Autriche,2008,9141939.0,109.0,83871.0,19.97,0.0,44.53,2.1844381153713672,0.0,4.870957900725437,29.68,30.961240000000004,39.35876,3.18,70730.00336,1.460423676,51708.76575
Austria,Autriche,2009,9141939.0,109.0,83871.0,19.12,0.0,47.18,2.0914600283375333,0.0,5.160830760301507,31.31,28.838615000000004,39.85138499999999,3.14,64419.99817,-3.764578178,47963.1794
Austria,Autriche,2010,9141939.0,109.0,83871.0,22.92,0.0,44.99,2.5071267703711433,0.0,4.921275453708453,31.15,33.75055999999999,35.09944000000001,3.29,69959.99908,1.837093677,46858.04327
